nlp_tol,K,cos_median,cos_min,n_below_0.99,n_good,n_flagged,n_samples,gnorm_median,achieved_kkt_median,frac_reached,frac_overshoot,rel_l2_median
1e-09,1,1.000000,1.000000,0,128,0,128,7.7867e+03,7.773e-10,1.000,0.000,8.7633e-05
1e-09,5,1.000000,1.000000,0,128,0,128,1.2055e+04,7.577e-10,1.000,0.000,4.5102e-05
1e-09,20,1.000000,1.000000,0,127,1,128,1.4526e+04,7.819e-10,1.000,0.000,3.6428e-05
1e-05,1,1.000000,1.000000,0,128,0,128,7.7867e+03,2.722e-06,1.000,0.055,8.3005e-05
1e-05,5,1.000000,1.000000,0,128,0,128,1.2055e+04,2.749e-06,1.000,0.039,4.6059e-05
1e-05,20,1.000000,1.000000,0,127,1,128,1.4526e+04,2.308e-06,1.000,0.078,3.2816e-05
1e-03,1,1.000000,1.000000,0,128,0,128,7.7867e+03,7.511e-04,1.000,0.008,7.9469e-05
1e-03,5,1.000000,1.000000,0,128,0,128,1.2055e+04,7.511e-04,1.000,0.000,4.0466e-05
1e-03,20,1.000000,1.000000,0,127,1,128,1.4526e+04,7.511e-04,1.000,0.000,3.6067e-05
1e-01,1,1.000000,0.999986,0,128,0,128,7.7867e+03,7.764e-02,1.000,0.000,7.3805e-04
1e-01,5,1.000000,0.999848,0,128,0,128,1.2055e+04,7.764e-02,1.000,0.000,3.0902e-04
1e-01,20,1.000000,0.999546,0,127,1,128,1.4526e+04,7.764e-02,1.000,0.000,5.6848e-04
1e+00,1,1.000000,-0.994238,2,128,0,128,7.7867e+03,7.651e-01,1.000,0.000,7.6686e-03
1e+00,5,1.000000,0.999792,0,128,0,128,1.2055e+04,7.651e-01,1.000,0.000,3.6298e-03
1e+00,20,0.999999,0.997611,0,127,1,128,1.4526e+04,7.651e-01,1.000,0.000,1.5540e-02
1e+01,1,0.998372,-0.999394,45,128,0,128,7.7867e+03,8.473e+00,1.000,0.000,8.8201e-01
1e+01,5,0.999836,-0.999708,17,128,0,128,1.2055e+04,8.473e+00,1.000,0.000,3.0203e-01
1e+01,20,0.999208,-0.991993,18,127,1,128,1.4526e+04,8.473e+00,1.000,0.000,6.2348e-01
