nlp_tol,K,cos_median,cos_min,n_below_0.99,n_good,n_flagged,n_samples,gnorm_median,achieved_kkt_median,frac_reached,frac_overshoot,rel_l2_median
1e-09,1,1.000000,0.999999,0,128,0,128,1.0015e+02,8.995e-10,1.000,0.047,5.8615e-04
1e-09,5,1.000000,1.000000,0,128,0,128,1.0573e+02,9.406e-10,1.000,0.023,4.9374e-04
1e-09,20,1.000000,1.000000,0,128,0,128,9.5264e+01,9.514e-10,1.000,0.039,4.4344e-04
1e-05,1,1.000000,0.999999,0,128,0,128,1.0015e+02,3.236e-06,1.000,0.242,7.0267e-04
1e-05,5,1.000000,0.999999,0,128,0,128,1.0573e+02,4.221e-06,1.000,0.188,5.0933e-04
1e-05,20,1.000000,0.999999,0,128,0,128,9.5264e+01,4.337e-06,1.000,0.203,4.1997e-04
1e-03,1,1.000000,0.999999,0,128,0,128,1.0015e+02,5.463e-04,1.000,0.023,6.1218e-04
1e-03,5,1.000000,0.999998,0,128,0,128,1.0573e+02,5.463e-04,1.000,0.023,4.5737e-04
1e-03,20,1.000000,0.999998,0,128,0,128,9.5264e+01,5.463e-04,1.000,0.039,5.0448e-04
1e-01,1,1.000000,0.999961,0,128,0,128,1.0015e+02,5.050e-02,1.000,0.039,9.9060e-04
1e-01,5,1.000000,0.999931,0,128,0,128,1.0573e+02,5.050e-02,1.000,0.039,9.9571e-04
1e-01,20,1.000000,0.999894,0,128,0,128,9.5264e+01,5.050e-02,1.000,0.039,1.1831e-03
1e+00,1,0.999999,0.997993,0,128,0,128,1.0015e+02,5.182e-01,1.000,0.062,5.6364e-03
1e+00,5,0.999998,0.998459,0,128,0,128,1.0573e+02,5.182e-01,1.000,0.062,6.8117e-03
1e+00,20,0.999994,0.997107,0,128,0,128,9.5264e+01,5.182e-01,1.000,0.062,7.3632e-03
1e+01,1,0.991539,0.600913,58,128,0,128,1.0015e+02,7.073e+00,1.000,0.016,8.0409e-01
1e+01,5,0.975149,-0.363488,71,128,0,128,1.0573e+02,7.073e+00,1.000,0.016,8.4028e-01
1e+01,20,-0.005549,-0.978028,93,128,0,128,9.5264e+01,7.073e+00,1.000,0.016,1.0218e+00
