update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations,fwd_conv_max,fwd_iters_max,fwd_n_nonconv,fwd_rs_max,fwd_comp_max
1,47.829175256214334,18.200489116876877,-0.6428720772387524,-0.14608918066841925,-1.4971039997480062e-05,62.71545720100403,24,,,,,0.0009666889727106831,14,0,1.9616763387718365e-07,1.3552527156068805e-16
2,35.16090770530405,0.5649488853118562,-0.12270184945354545,-3.1415280641322596e-06,-3.1474243717966033e-06,65.10376906394958,0,,,,,0.0008680986924627376,4,0,1.8039938258230232e-05,0.00013224903684219192
3,45.89036916011139,7.860221402334375,-0.6831996553645863,-0.05754327164225215,-8.16838125872188e-06,61.403568744659424,24,,,,,0.0009843674198650731,7,0,8.371929786384344e-06,0.00014820205474031585
4,34.360205104586676,2.4290738668133383,-0.04312294103062242,-5.042476550976005e-06,-5.059170371968236e-06,84.80161547660828,0,,,,,0.0009958702573071854,5,0,1.665546720613989e-05,1.3552527156068805e-16
5,45.320201545538936,18.021637288866813,-0.7134208525802364,-0.03957232971507496,-5.933488741449722e-06,66.5826244354248,24,,,,,0.0009816777262550147,14,0,2.8278683228184334e-06,1.3552527156068805e-16
6,25.271946724485208,12.556685027720212,-0.026639228698283945,1.0667969196243021e-05,1.438482716964451e-05,66.4989960193634,0,,,,,0.0009739617265527578,5,0,0.00040506990673824794,1.3552527156068805e-16
7,42.78037617360408,12.703679885481764,-0.5920363327056277,-0.010358343518559021,1.390154877711769e-05,117.67168116569519,24,,,,,0.0009619736811170565,24,0,2.237685466040723e-05,0.0035814081734685
8,26.07969769716741,26.5633816686577,-0.005267207847028166,8.91642537185211e-05,9.125112085317522e-05,64.98278665542603,0,,,,,0.0009212336338200733,5,0,0.0001648364885147302,0.014231597952396927
9,43.75649808373036,34.91264686570579,-0.6993636224045914,1.7275344557199368e-05,0.00013810059458163604,99.67456150054932,24,,,,,0.0009944050504913093,19,0,0.00014377249054971206,0.02223941940968782
10,15.5022996561112,9.338285294337995,-0.18957733197072368,0.0001380595842549459,0.0001373841468604864,18.891620874404907,0,46.76373636254815,0.00011870605761088449,12,1,0.0009767472792966136,4,0,0.0002708989540323725,0.012483745579107955
11,40.629844109180226,35.52229314706982,-0.6858725436393238,0.000217889223333656,0.00021682323361704725,84.48188185691833,24,,,,,0.01809359938228389,37,1,0.00022003636424907893,0.02407810404119048
12,10.294399348536867,4.568711127037009,-0.46678552523891215,-0.05905666492615236,-0.04203395071441007,12.736642599105835,0,,,,,0.0009503676662573346,3,0,0.00018549850409715907,3.5999658299263075e-05
13,38.90451667707801,42.41047825996201,-0.7086147541927743,0.00018656876716627302,0.00018565595444142158,64.45357251167297,24,,,,,0.000969693011103695,21,0,0.000189176107720825,0.005672720202795075
14,7.080588952504377,3.158901504521604,-0.6308987016572558,-0.2019193814233633,-0.16622148241077772,12.37918472290039,0,,,,,0.000971953703037598,3,0,9.928155716787401e-05,1.3552527156068805e-16
15,35.17793353519785,10.543482380698729,-0.6296973966156221,8.453164243438227e-05,8.411808220143424e-05,60.707836389541626,24,,,,,0.0008924573548246828,16,0,8.950411373935671e-05,0.00033088989076678
