update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations,fwd_conv_max,fwd_iters_max,fwd_n_nonconv,fwd_rs_max,fwd_comp_max
1,47.82917525647482,18.20014945532483,-0.6428720772389747,-0.14608918067810794,-1.4971040000588687e-05,52.5939998626709,24,,,,,0.0009666889725816752,16,0,1.9616762677202734e-07,7.4589393346438226e-06
2,35.16090770372799,0.5648958155589626,-0.1227018494623473,-3.1415279158064635e-06,-3.147424212812666e-06,64.54586052894592,0,,,,,0.0008680987379015015,4,0,1.803993852122903e-05,0.0001322491017609654
3,45.890375029232715,7.860474113546828,-0.6831996584138456,-0.05754342650318023,-8.169132451163463e-06,60.66053247451782,24,,,,,0.0009843591699580934,7,0,8.371413014857224e-06,0.00011526621472758439
4,34.36020716578171,2.4287641501674804,-0.04312307191935183,-5.043548250371899e-06,-5.060240871879174e-06,84.92228579521179,0,,,,,0.0009958811063588424,5,0,1.665483807556624e-05,1.3552527156068805e-16
5,45.320196697033204,18.023152533009924,-0.7134208520606633,-0.03957218243188576,-5.9333201174460726e-06,65.9442491531372,24,,,,,0.0009816606016501694,14,0,2.8274044915340277e-06,1.3552527156068805e-16
6,25.271909373359794,12.556433074453846,-0.02663909881202109,1.0664907702184756e-05,1.4381732717394513e-05,65.5180549621582,0,,,,,0.000973945242622315,5,0,0.000405067386314413,1.3552527156068805e-16
7,42.78038258948025,12.7010677182098,-0.5920363324630791,-0.010358503652802664,1.3889952599988042e-05,116.22019052505493,24,,,,,0.0009619599095298526,24,0,2.2366076764126925e-05,0.0035814362068786474
8,26.07982742258694,26.57823251235862,-0.005267328539903415,8.916869438446717e-05,9.125558948286372e-05,64.42262864112854,0,,,,,0.0009212589695342666,5,0,0.0001296554867735722,0.014229972915763214
9,43.75658703892108,35.0248972507796,-0.6993636158437724,1.7217614301290318e-05,0.00013814637151210452,98.76434350013733,24,,,,,0.0009936594467632176,19,0,0.00014381602465934063,0.022247794131124717
10,15.502702851968687,9.338018589670899,-0.18956304434792437,0.000138134199507145,0.0001374583970983334,17.732603788375854,0,46.760889948019205,0.0001185514195827242,12,1,0.000977539729770105,4,0,0.00027091516408361827,0.004605811509979902
11,40.63181984677834,60.632914734677925,-0.6858723875629131,0.00021798745265055874,0.0002169209823640328,82.82028126716614,24,,,,,0.07920356390184362,40,1,0.00022013629803443492,0.027108104402074226
12,10.30308078860326,4.568931354993318,-0.4666758003446365,-0.05898685986999652,-0.04197315347218211,12.20445203781128,0,,,,,0.000936645471739106,3,0,0.0001848872816377356,3.386073422898591e-05
