update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations
1,47.82477790527241,17.741105664311174,-0.6428719690067557,-0.14578175399027438,7.206441365137373e-05,24.985166788101196,24,,,,
2,35.15753946306819,0.5500524267293105,-0.12241841433196066,1.0063230658774458e-06,4.936637140695588e-05,1.300811767578125,48,,,,
3,33.69502108980374,3.8638248734876655,-1.303788271056483e-05,-3.434469035834553e-07,1.836578308811454e-05,1.7264118194580078,0,,,,
4,45.7038408347747,7.973671618715338,-0.6832065522407627,-0.04952509575336883,0.00016416386476036937,1.8470873832702637,24,,,,
5,34.02452129729381,4.856409333101201,-0.03616381158091486,1.0421206263155902e-05,2.4517819665947904e-05,2.134127140045166,48,,,,
6,26.988048214576597,12.592738303315317,-2.6161470377150664e-05,1.3965221276945883e-05,6.616245406110277e-05,1.4873414039611816,0,,,,
7,44.04662770712995,28.041024771523098,-0.7134396606853173,-0.009877770012424847,5.458248931122789e-05,2.2570998668670654,24,,,,
8,18.519820087953036,9.962716500215018,-0.045540472445558366,4.677379191986297e-05,6.57002812179952e-05,1.3038716316223145,48,,,,
9,4.841885890583183,2.2022756511711785,-0.3284984388094674,-0.05466251704974656,-0.04554047349052448,0.19048070907592773,0,,,,
10,40.27877616989311,32.50927802610715,-0.5922387845589865,1.2053714892990008e-05,3.656325030632068e-05,4.9333343505859375,24,,,,
11,12.935717489204356,6.682089234643028,-0.28629127082445827,-0.009327157797477392,-0.005251489941002108,0.22983813285827637,48,,,,
12,2.3205495291388356,0.9908013986606509,-0.5326873357947177,-0.30220229472111604,-0.2862912783946703,0.1793973445892334,0,,,,
13,39.069627816880306,18.027229831675207,-0.699792675947323,3.1570581601192416e-06,5.955462936113598e-05,3.3738770484924316,24,,,,
14,7.517131293153856,3.263668597294809,-0.5894751819728508,-0.1572598526192608,-0.12614517024909366,0.3158295154571533,48,,,,
15,1.379487940149542,0.7354220339771742,-0.650611660275427,-0.5952874339769492,-0.5894751973617172,0.28420114517211914,0,,,,
16,36.73542196356271,18.17532348453576,-0.6875848103047297,8.216601220856212e-06,2.851494508304686e-05,3.2198286056518555,24,,,,
17,5.4244253073168975,2.8166191001762897,-0.7010544787346231,-0.3272328662818149,-0.28397123161714566,0.2175126075744629,48,,,,
18,0.8893120875345392,0.5253333056110843,-0.7004753624048043,-0.6782112875318254,-0.6767276808536209,0.17906546592712402,0,,,,
19,35.844265922114005,10.089003439595238,-0.7075666815990675,-2.886441585125965e-05,1.0755010818819244e-05,3.6706628799438477,24,,,,
20,4.101727849174034,2.4722986020727857,-0.7740885412521703,-0.5212631821424805,-0.4746089833440419,0.2860267162322998,48,,,,
21,0.5416856103880463,0.32849910713280017,-0.7342459306358724,-0.6790652810320026,-0.6750661611147086,0.18288636207580566,0,,,,
22,33.24784942316352,9.208188270435349,-0.62895657119894,-5.361630051714528e-06,1.1283416789908962e-05,3.0358171463012695,24,,,,
23,2.895235758208506,1.6602417641624527,-0.8006933385261799,-0.6292165818076618,-0.5876688045295797,0.20904016494750977,48,,,,
24,0.24782430577204226,0.14678915099345238,-0.7221134195346663,-0.6716480298193908,-0.6710600936648128,0.1798546314239502,0,,,,
25,33.52374378375424,5.2480620312798685,-0.7226358029926931,5.886989930536934e-06,2.9958682309372264e-05,6.2919392585754395,24,,,,
26,1.9873310782948352,0.9350026233769066,-0.797821088506323,-0.6605532819120257,-0.6220984582036462,0.19086432456970215,0,,,,
27,34.12490229997372,9.600159336013592,-0.7039847323600368,6.9394849854242935e-06,2.5568214741866768e-05,4.105026960372925,24,,,,
28,1.5651843430933532,0.5902983781578742,-0.7906859102081807,-0.6577340845414001,-0.6195437413634806,0.1823737621307373,0,,,,
29,31.61817408096294,8.995787338741764,-0.6819201597821962,8.614884239310783e-06,8.572743407375683e-06,4.092052221298218,24,,,,
30,1.1711710215572526,0.3358779786784921,-0.8045087605176156,-0.6878518525467516,-0.6542400401156545,0.19280791282653809,0,,,,
31,32.80362388776107,20.73202239830238,-0.649909648844736,-0.008535102184786814,6.0971023069233965e-06,3.838608980178833,24,,,,
32,1.0619294711584433,0.19672817950334348,-0.7919681662042597,-0.6846315505549665,-0.6481556166004276,0.2494945526123047,0,,,,
33,32.9672628230701,4.794591327919968,-0.6866385063526836,5.769017895396189e-06,5.786009184216567e-06,3.1347131729125977,24,,,,
34,0.7817538889351566,0.07955438098327233,-0.7906835752417951,-0.6777414606688383,-0.6438403710119049,0.18053197860717773,0,,,,
35,33.582141097450915,4.384019650234821,-0.7385373828158184,2.0105221608224255e-05,2.0006849656528658e-05,3.311509132385254,24,,,,
36,0.6501036291852699,0.03194198395671225,-0.785667881482677,-0.6755517783223557,-0.6416622482778991,0.18560051918029785,0,,,,
37,32.59937419180244,7.041270134461227,-0.6385519012464889,2.6527528906861164e-06,7.544886232002668e-06,2.427844762802124,24,,,,
38,0.5510464065715958,0.03326969364201639,-0.7798669191507124,-0.662899089672611,-0.6258053813550712,0.17728018760681152,0,,,,
39,33.186038275305975,2.566407180971572,-0.6749665143732957,3.911820453561532e-06,4.748381453145711e-06,2.4090137481689453,24,,,,
40,0.4745195205669777,0.04433984532409805,-0.7728890197201457,-0.6424525531709444,-0.6028365145962968,0.17618274688720703,0,32.95742831716629,2.145776689277401e-05,8,1
