update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations
1,17.68378572605267,0.6819143287092064,-0.6428719690067557,-0.5997978830143875,2.783691077645756e-07,23.556137323379517,8,,,,
2,16.27249320086439,0.26859188988765337,-0.5822728462174462,-0.38538260510519273,0.0002855400994947743,0.40970301628112793,16,,,,
3,13.79444993457295,0.08576780125240689,-0.3514836371816268,-0.13635423886496967,0.00014035673376633362,0.7420005798339844,24,,,,
4,12.04491762040458,0.016745619297812556,-0.11274484798034523,-0.014644318708828097,3.169085525922544e-05,0.7215666770935059,32,,,,
5,11.521235911628306,0.010896545457640273,-0.009194163103172226,9.683866457610435e-07,1.3747405814501512e-05,0.7505440711975098,40,77.13005460451654,1.4407067624122583e-05,29,6
6,11.376409083692677,0.0061526534221274225,-0.00020345209663585884,-7.872312085321909e-06,1.5098566944482528e-05,0.7731795310974121,48,,,,
7,11.023405132943173,0.020044353278030898,-5.260483050273379e-06,-1.4254165661142792e-06,2.7631948570472353e-05,0.7093639373779297,0,,,,
8,17.682998306547702,0.4949854766088051,-0.6832941761021987,-0.5373084118208549,4.712414862650949e-05,0.8104143142700195,8,,,,
9,14.942847182651178,0.17428040674896603,-0.49871437544688724,-0.20802935369816566,0.00016128086458999658,1.3239078521728516,16,,,,
10,12.319589013418161,0.05811454177197337,-0.1724520623977801,-0.021267589036006118,1.7991055041854942e-05,1.0945091247558594,24,65.47561568397197,2.7991796858417572e-05,31,1
11,11.460931598633664,0.15136216215983234,-0.01308971244285928,1.4321098818270706e-05,5.903477483337749e-05,0.993293285369873,32,,,,
12,10.862317634413012,0.03585484692886388,-8.430209299348235e-05,2.35999004548626e-05,4.9778547903778225e-05,1.673619270324707,40,,,,
13,9.33871147436551,0.06421666185524454,-2.542262404858775e-05,1.67520891457551e-05,2.7434922192481892e-05,2.7383623123168945,48,,,,
14,6.8264896447332335,0.19906942845903494,-0.0200755095226004,3.688591621475723e-06,3.670558424984094e-06,0.4545729160308838,0,,,,
15,17.893581626188073,0.8412073239770724,-0.7138588915818675,-0.505742535550282,9.228825640694716e-06,1.5008513927459717,8,60.04604081109121,-8.163476952205428e-07,23,0
16,13.777487067042808,0.4701563115198653,-0.4508491776414827,-0.08540679465695855,1.904341096292672e-05,0.6837542057037354,16,,,,
17,9.200376224995766,0.16075594171598082,-0.05287905066244103,1.431967585485694e-05,2.9232888235308785e-05,1.5858495235443115,24,,,,
18,5.669798881319828,0.10245048618686786,-0.21399799013363818,-0.0392581825957421,-0.023261814730380914,0.16508221626281738,32,,,,
19,3.208211933921782,0.0643976496775662,-0.4195633789232094,-0.24233203539838355,-0.21399799033971445,0.10085940361022949,40,,,,
20,1.7714514132330308,0.03747209300103559,-0.5458530517683866,-0.44006304527266615,-0.4195633791594109,0.0887763500213623,48,50.00638522821585,-1.307104210956922e-05,9,0
21,1.0124147295223287,0.020408693890322762,-0.6048087103048685,-0.5561620601487351,-0.545853043318725,0.08807182312011719,0,,,,
22,16.78175136807185,1.829293977806,-0.5939017488034648,-0.39390995448719623,5.81596182902544e-06,3.291107654571533,8,,,,
23,13.000496390585933,0.6210510074962778,-0.3396680282125666,-0.02691890223194271,2.2589516170179458e-05,4.187649965286255,16,,,,
24,8.817175945504935,0.2137214541557133,-0.10702037595903224,-1.204911474927961e-05,-6.74826677493634e-06,1.5374970436096191,24,,,,
25,5.29218949366199,0.1460579956946385,-0.43581938488160143,-0.14492788106931465,-0.10702037592698788,0.1836256980895996,32,52.68094160566686,-1.2897517115861845e-05,12,0
26,3.0112669498058997,0.08450156230963037,-0.6321352172346391,-0.47123539803498526,-0.435819384797024,0.1176450252532959,40,,,,
27,1.7092662037367592,0.03850020378658865,-0.6673500642204961,-0.6432926932466863,-0.6062321707588068,0.10993266105651855,48,,,,
28,0.9298277619942015,0.014820050510954585,-0.6646517588607186,-0.6424086650225413,-0.6128684193109784,0.09130382537841797,0,,,,
29,17.97223533341317,0.17908633527618145,-0.6994784643976903,-0.5019194516363519,5.7018039537060083e-05,3.4492037296295166,8,,,,
30,13.952682261331251,0.3085305794864381,-0.44576423058227066,-0.08061169400435153,3.267530415917985e-05,1.7902259826660156,16,56.727669972420365,1.0532636022575481e-05,18,1
31,9.969796561317029,0.31258279808271267,-0.050359999091106555,4.985961245207449e-06,5.7716552692266276e-05,1.2520430088043213,24,,,,
32,6.644815542218099,0.19635889998490594,-0.1493125682449783,-0.023791103871009245,-0.013247881828768016,0.18639516830444336,32,,,,
33,3.7957108897927068,0.07509901091577986,-0.2910292142276447,-0.1699953771088989,-0.14931256758017342,0.15730810165405273,40,,,,
34,1.9021529970046145,0.020251092180876673,-0.3620311370414915,-0.30347857670654177,-0.291029209059281,0.13944125175476074,48,,,,
35,0.8460250243350507,0.003075801138555368,-0.4028331633227056,-0.3676946507218992,-0.3620311026533012,0.11735653877258301,0,59.535758428875035,9.339660356655344e-06,26,1
36,17.629531483349158,0.16378557963836127,-0.6854875987469395,-0.47863635527438686,5.065242515422952e-05,1.9730644226074219,8,,,,
37,14.130250080149821,0.204972499412828,-0.42674714029563154,-0.09658925475438296,0.00011737742788764383,2.7553980350494385,16,,,,
38,11.679303684162615,0.2937737003628524,-0.06765890566436616,2.1766586083327155e-05,6.044963630325029e-05,4.40752649307251,24,,,,
39,10.08896444191768,0.060600281745924835,-0.00013342558028539564,2.3561123158155617e-05,4.052620302175125e-05,5.21017861366272,32,,,,
40,7.351766351657191,0.2818995789088507,-0.028999787215856276,1.0633632162249107e-05,1.070439247452537e-05,0.26206278800964355,40,64.21425223978946,2.5352029540015586e-05,34,3
