update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations
1,48.6978,1.684e+01,,-0.5616,0.0116,144.49,,,,,
2,41.5282,1.611e+00,,-0.2526,0.0122,124.22,,,,,
3,37.9330,9.757e-01,,-0.0255,0.0122,129.39,,,,,
4,36.8847,1.973e+00,,+0.0113,0.0113,160.71,,,,,
5,45.4031,4.641e+00,,-0.4793,0.0192,162.92,,,,,
6,39.0222,3.294e+00,,-0.1113,0.0163,209.17,,,,,
7,35.2558,1.026e+01,,+0.0156,0.0172,200.32,,,,,
8,29.6246,1.651e+01,,+0.0173,0.0173,166.96,,,,,
9,40.7124,2.824e+01,,-0.4550,0.0233,248.89,,,,,
10,25.2895,1.682e+01,,,,140.73,,48.2823,+0.0383,17,7
11,13.7516,8.288e+00,,+0.0325,0.0325,126.87,,,,,
12,6.7066,3.373e+00,,-0.0213,-0.0102,71.20,,,,,
13,33.1703,2.521e+01,,-0.2483,0.0437,269.68,,,,,
14,17.2005,9.151e+00,,+0.0479,0.0479,131.53,,,,,
15,7.2816,3.407e+00,,+0.0109,0.0296,107.86,,,,,
16,2.8249,1.525e+00,,-0.2788,-0.2500,66.43,,,,,
17,29.2536,1.332e+01,,-0.1561,0.0562,303.36,,,,,
18,11.8379,5.176e+00,,+0.0579,0.0580,138.40,,,,,
19,3.7368,2.065e+00,,-0.1385,-0.0895,110.57,,,,,
20,1.1319,6.994e-01,,,,67.32,,35.0413,+0.0685,8,5
21,26.3889,7.087e+00,,-0.0333,0.0717,337.16,,,,,
22,8.7393,3.537e+00,,+0.0720,0.0721,141.73,,,,,
23,2.0561,8.713e-01,,-0.2670,-0.2091,110.31,,,,,
24,0.4129,1.912e-01,,-0.6718,-0.6492,67.47,,,,,
25,25.0426,5.549e+00,,+0.0272,0.0807,400.69,,,,,
26,6.9111,1.521e+00,,+0.0808,0.0808,138.86,,,,,
27,1.1818,2.122e-01,,-0.3325,-0.2723,89.23,,,,,
28,0.1409,2.283e-02,,-0.7178,-0.6521,64.34,,,,,
29,22.7912,5.554e+00,,+0.0715,0.0838,365.12,,,,,
30,5.5298,5.805e-01,,,,144.41,,32.3646,+0.0863,9,6
31,0.7204,7.387e-02,,-0.3885,-0.3283,82.52,,,,,
32,22.8805,5.991e+00,,+0.0767,0.0897,370.41,,,,,
33,5.1135,5.506e-01,,+0.0826,0.0826,153.17,,,,,
34,0.5755,7.765e-02,,-0.4146,-0.3532,83.31,,,,,
35,23.1593,3.701e+00,,+0.0818,0.0911,362.55,,,,,
36,5.1303,5.810e-01,,+0.0892,0.0892,157.70,,,,,
37,0.5469,8.482e-02,,-0.4101,-0.3479,86.30,,,,,
38,21.2589,3.357e+00,,+0.0896,0.0910,352.64,,,,,
39,4.5652,5.368e-01,,+0.0899,0.0899,148.48,,,,,
40,0.4528,6.745e-02,,,,80.31,,32.0352,+0.0956,8,6
41,22.1986,3.336e+00,,+0.0978,0.1047,352.96,,,,,
42,4.8406,5.052e-01,,+0.0966,0.0978,149.35,,,,,
43,0.4869,7.195e-02,,-0.4192,-0.3592,86.13,,,,,
44,22.5370,3.204e+00,,+0.0860,0.0964,329.85,,,,,
45,4.8981,4.647e-01,,+0.0944,0.0944,147.20,,,,,
46,0.4847,6.659e-02,,-0.4161,-0.3564,86.31,,,,,
47,22.9882,2.758e+00,,+0.0912,0.1100,342.96,,,,,
48,4.9892,4.244e-01,,+0.1082,0.1082,145.05,,,,,
49,0.5065,6.624e-02,,-0.4166,-0.3579,83.35,,,,,
50,22.3320,1.726e+00,,,,332.49,,32.0311,+0.1064,9,6
51,5.0667,3.393e-01,,+0.0991,0.0991,141.24,,,,,
52,0.5344,6.416e-02,,-0.3853,-0.3283,88.99,,,,,
53,22.9726,1.587e+00,,+0.0728,0.1001,309.36,,,,,
54,5.3940,2.885e-01,,+0.0967,0.0967,137.73,,,,,
55,0.5898,6.551e-02,,-0.3532,-0.2966,86.00,,,,,
56,22.2000,1.420e+00,,+0.0999,0.1155,342.08,,,,,
57,5.1639,2.327e-01,,+0.1138,0.1138,147.74,,,,,
58,0.5734,6.350e-02,,-0.3689,-0.3150,86.39,,,,,
59,21.5662,1.201e+00,,+0.0965,0.1118,327.92,,,,,
